table_name,column_ordinal,column_name,declared_type,is_not_null,pk_position
ORD_MaterialOrder,30,QuickBooksCreditFlag,bit,1,0
ORD_MaterialOrder,31,FinalFlag,bit,1,0
ORD_MaterialOrder,32,InvoiceTypeID,INT,0,0
ORD_MaterialOrder,33,OriginalMaterialOrderID,INT,0,0
ORD_MaterialOrder,34,QuickBooksCreditMOFlag,bit,1,0
ORD_MaterialOrder,35,CreditNumberMemo,varchar(40),0,0
ORD_MaterialOrder,36,CreditAmountMemo,money,0,0
ORD_MaterialOrder,37,CreditDateMemo,date,0,0
ORD_MaterialOrder,38,QBInvDisCFIDownloadedDate,datetime,0,0
ORD_MaterialOrder,39,QBCFICreditDownloadedDate,datetime,0,0
ORD_MaterialOrder,40,QBDistCreditDownloadedDate,datetime,0,0
ORD_MaterialOrder,41,IsHausPro,bit,1,0
ORD_NegVoucher,2,RODate,date,0,0
ORD_NegVoucher,3,InvoiceDate,date,0,0
ORD_NegVoucher,8,DatePaid,date,0,0
ORD_NegVoucher,11,QBNegInvDownloadedDate,datetime,0,0
ORD_OutOfStock,3,ExpectedShipDate,datetime,0,0
ORD_OutOfStock,7,EstimatedDeliveryDate,date,0,0
ORD_POInvProduct,9,LastUpdatedOn,datetime2(2),1,0
ORD_POInvProduct,11,LastUpdatedBy,varchar(50),1,0
ORD_POInvoice,3,InvoiceDate,datetime,0,0
ORD_POInvoice,5,PODate,datetime,0,0
ORD_POInvoice,8,DateShipped,datetime,0,0
ORD_POInvoice,9,DueDate,datetime,0,0
ORD_POInvoice,15,LastUpdatedOn,datetime2(2),1,0
ORD_POInvoice,17,LastUpdatedBy,varchar(50),1,0
ORD_POInvoice,23,DatePaid,date,0,0
ORD_POProduct,7,ShippedDate,datetime,0,0
ORD_POProduct,10,LastUpdatedBy,varchar(50),1,0
ORD_POProduct,11,LastUpdatedOn,datetime2(2),1,0
ORD_POProduct,15,InvoiceDate,datetime,0,0
ORD_POProduct,27,DeliveredDate,date,0,0
ORD_POProductOption,6,LastUpdatedBy,varchar(50),1,0
ORD_POProductOption,7,LastUpdatedOn,datetime2(2),1,0
ORD_PurchaseOrder,0,PurchaseOrderID,INT,1,0
ORD_PurchaseOrder,1,MaterialOrderID,INT,0,0
ORD_PurchaseOrder,2,DistributorID,INT,0,0
ORD_PurchaseOrder,3,OrderStatusID,INT,1,0
ORD_PurchaseOrder,4,PONumber,varchar(40),1,0
ORD_PurchaseOrder,5,RequestedShipDate,date,0,0
ORD_PurchaseOrder,6,ValidatedShipDate,date,0,0
ORD_PurchaseOrder,7,CutCharges,"decimal(7,2)",0,0
ORD_PurchaseOrder,8,CreatedBy,varchar(50),1,0
ORD_PurchaseOrder,9,CreatedOn,datetime2(2),1,0
ORD_PurchaseOrder,10,LastUpdatedBy,varchar(50),1,0
ORD_PurchaseOrder,11,LastUpdatedOn,datetime2(2),1,0
ORD_PurchaseOrder,12,GUID,uniqueidentifier,1,0
ORD_PurchaseOrder,13,TotalFreight,"decimal(7,2)",0,0
ORD_PurchaseOrder,14,DistributorInvoiceNumber,varchar(40),0,0
ORD_PurchaseOrder,15,ActualShipDate,date,0,0
ORD_PurchaseOrder,16,IsContainerOrder,bit,1,0
ORD_PurchaseOrder,17,IsPriced,bit,1,0
ORD_PurchaseOrder,18,QuickBooksPayableFlag,bit,1,0
ORD_PurchaseOrder,19,DistributorShipToLocationID,INT,0,0
ORD_PurchaseOrder,20,OriginalPurchaseOrderID,INT,0,0
ORD_PurchaseOrder,21,QBPayableDownloadedDate,datetime,0,0
ORD_PurchaseOrder,22,DeliveredDate,date,0,0
ORD_PurchaseOrder,23,GS1128,varchar(48),0,0
ORD_PurchaseOrder,24,ServiceCompanyID,INT,0,0
ORD_PurchaseOrder,25,RetailOrderID,INT,0,0
ORD_PurchaseOrder,26,ServiceInitiatedDate,date,0,0
ORD_PurchaseOrder,27,PendingTypeID,INT,0,0
ORD_PurchaseOrder,28,PendingReasonID,INT,0,0
ORD_PurchaseOrder,29,CustomPendingReason,varchar(500),0,0
ORD_PurchaseOrder,30,PendingStartDate,datetime,0,0
ORD_PurchaseOrder,31,PendingEndDate,datetime,0,0
ORD_PurchaseOrder,32,SetToPendingBy,nvarchar(128),0,0
ORD_PurchaseOrder,33,RequestedDeliveryDate,date,0,0
ORD_PurchaseOrder,34,ValidatedDeliveryDate,date,0,0
ORD_PurchaseOrder,35,DeliveryFlow,bit,1,0
ORD_PurchaseOrder,36,SONumber,varchar(40),0,0
ORD_PurchaseOrder,37,IsHausPro,bit,1,0
